Produkt (100g)	kcl	bia³ka	t³uszcze 	wêglowodany	gluten	
Actimel	71	2,8	1,6	10,5	mo¿e zawieraæ	
agrest	40	0,7	0,3	12,1	nie zawiera	
ajerkoniak	277	5,4	0	29	zawiera	
ananas	55	0,5	0,3	14,1	nie zawiera	
ananas, plastry w syropie	87	0,5	0,2	21,2	nie zawiera	
arbuz	35	0,4	0,1	8,8	nie zawiera	
awokado	164	2,2	15,6	7,7	nie zawiera	
babka biszkoptowa	332	8,8	4,9	63,2	zawiera	
babka piaskowa	370	5,5	22	41,7	zawiera	
bak³a¿an	22	1,3	0,1	6,4	nie zawiera	
bak³a¿an gotowany	24	1,1	0,1	7	nie zawiera	
banan	97	1,1	0,5	23,6	nie zawiera	
banan suszony	345	3,7	1,5	87,9	nie zawiera	
baton 3 Bit	515	6,9	27,5	58,5	mo¿e zawieraæ	
baton Bounty Milk	448	4,2	25,2	56,7	mo¿e zawieraæ	
baton Knoopers	528	8	32	52	zawiera	
baton Lion	491	7,4	22,7	64,1	zawiera	
baton Mars	451	3,6	18,2	68,9	mo¿e zawieraæ	
baton Mars Delight	557	4,5	33,6	58,9	mo¿e zawieraæ	
baton Milky Way	448	3,6	16,2	71,8	mo¿e zawieraæ	
baton Pawe³ek z adwokatem	471	5,1	21	61,1	mo¿e zawieraæ	
baton Pawe³ek z amaretto w ciemnej czekoladzie	460	5,1	20,7	59,9	mo¿e zawieraæ	
baton Snickers	497	9,7	28,9	52,6	mo¿e zawieraæ	
baton Twix	483	5,3	23,2	64,2	zawiera	
batonik Chocapic	415	7,5	13,5	65,9	mo¿e zawieraæ	
batonik Cini Minis	413	6,5	12,8	29	mo¿e zawieraæ	
batonik Fitness	382	5,1	7	30,3	mo¿e zawieraæ	
batonik Nesquik	418	7,2	7,9	66,5	mo¿e zawieraæ	
ba¿ant pieczony	215	31,9	9,1	0	nie zawiera	
bezy	420	2,9	11,5	53,8	zawiera	
bezy z kremem	613	3,6	45,9	53,9	zawiera	
biszkopt z m¹ki gryczanej	230	5	5,5	39,8	zawiera	
